#Misc reusable stuff;;;;;;;;;;;;x
TB_OPT_MORE;More;;;;;;;;;;;x
TB_OPT_BACK;Back;;;;;;;;;;;x
TB_DAMN_THEM;Damn them!;;;;;;;;;;;x
TB_GLORIOUS;Glorious!;;;;;;;;;;;x
#Abyss Cult stuff;;;;;;;;;;;;x
LORDS_OF_THE_ABYSS;Demon Lords;;;;;;;;;;;x
baphomet;Baphomet;;;;;;;;;;;x
dagon;Dagon;;;;;;;;;;;x
demogorgon;Demogorgon;;;;;;;;;;;x
eltab;Eltab;;;;;;;;;;;x
fraz_urbluu;Fraz-Urb'luu;;;;;;;;;;;x
grankhul;Grankhul;;;;;;;;;;;x
juiblex;Juiblex;;;;;;;;;;;x
kostchtchie;Kostchtchie;;;;;;;;;;;x
malcanthet;Malcanthet;;;;;;;;;;;x
oublivae;Oublivae;;;;;;;;;;;x
orcus;Orcus;;;;;;;;;;;x
pazuzu;Pazuzu;;;;;;;;;;;x
sess_inek;Sess'innek;;;;;;;;;;;x
skiggaret;Skiggaret;;;;;;;;;;;x
sseth;Sseth;;;;;;;;;;;x
yeenoghu;Yeenoghu;;;;;;;;;;;x
zuggtmoy;Zuggtmoy;;;;;;;;;;;x
the_abyss;the Abyss;;;;;;;;;;;x
grankhul_and_skiggaret;Grankhul and Skiggaret;;;;;;;;;;;x
archdevils;Archdevils;;;;;;;;;;;x
CB_NAME_ABYSS_SUBJUGATION;Abyssal Subjugation;;;;;;;;;;;x
WAR_NAME_ABYSS_SUBJUGATION;Abyssal Subjugation;;;;;;;;;;;x
tb_abyssal_subjugation_desc;Rulers who serve the same demon lord can freely subjugate each other in order to prove themselves the most worthy of their Master's attention.;;;;;;;;;;;x
tb_abyssal_humiliate_cb;Rulers sworn to different Lords of the Abyss can seek to humiliate each other to prove the superiority of their Master.;;;;;;;;;;;x
abyssal_sacrifice_decision;Sacrifice [Root.GetBestName];;;;;;;;;;;x
abyssal_sacrifice_decision_desc;Sacrifice [Root.GetBestName] to their abyssal patron in order to prove your devotion.;;;;;;;;;;;x
DEATH_ABYSSAL_SACRIFICED;was offered up in sacrifice to a Demon Lord;;;;;;;;;;;x
