###ÄNSI;;;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
ARDEEPSMOUTH_ADJ;Ardeepsmouther;;;;;;;;;;;x
ARDEEPSMOUTH;Ardeepsmouth;;;;;;;;;;;x
DBEZANTUR_ADJ;Bezantan;Bezantan;Bezantan;;Bezantan;;;;;;;x
DBEZANTUR;Bezantur;Bezantur;Bezantur;;Bezantur;;;;;;;x
DELMYR_ADJ;Delmyran;;;;;;;;;;;x
DELMYR;Delmyr;;;;;;;;;;;x
DRAGONSPEAR_ADJ;Dragonspear;;;;;;;;;;;x
DRAGONSPEAR;Castle Dragonspear;;;;;;;;;;;x
ELMWOOD_ADJ;Elmwoodan;;;;;;;;;;;x
ELMWOOD;Elmwood;;;;;;;;;;;x
FAR_HILLS_ADJ;Farhill;;;;;;;;;;;x
FAR_HILLS;Far Hills;;;;;;;;;;;x
FLOSTRENS_HOLD_ADJ;Flostrenian;;;;;;;;;;;x
FLOSTRENS_HOLD;Flostren's Hold;;;;;;;;;;;x
GRAND_COMMANDER;Grand Commander;;;;;;;;;;;x
GRATHSHOLD_ADJ;Grath's Hold;Grath's Hold;Grath's Hold;;Grath's Hold;;;;;;;x
GRATHSHOLD;Grath's Hold;Grath's Hold;Grath's Hold;;Grath's Hold;;;;;;;x
GRAY_PORT_ADJ;Grayporter;;;;;;;;;;;x
GRAY_PORT;Gray Port;;;;;;;;;;;x
GULTHANDOR_ADJ;Gulthandoran;;;;;;;;;;;x
GULTHANDOR;Gulthandor;;;;;;;;;;;x
HALVANS_DALE_ADJ;Halvansdarr;;;;;;;;;;;x
HALVANS_DALE;Halvan's Dale;;;;;;;;;;;x
HAWA_ADJ;Hawan;;;;;;;;;;;x
HAWA;Hawa;;;;;;;;;;;x
HELGABAL_ADJ;Helgabal;;;;;;;;;;;x
HELGABAL;Helgabal;;;;;;;;;;;x
HELMLANDS_ADJ;Helmlands;;;;;;;;;;;x
HELMLANDS;Helmlands;;;;;;;;;;;x
ICESPIRE_PEAK;Icespire Peak;;;;;;;;;;;x
ICESPIRE_PEAK_ADJ;Icespire;;;;;;;;;;;x
ILLUSK_ADJ;Illuskan;;;;;;;;;;;x
ILLUSK;Illusk;;;;;;;;;;;x
ITHMONG_ADJ;Ithmongan;Ithmongan;Ithmongan;;Ithmongan;;;;;;;x
ITHMONG;Ithmong;Ithmong;Ithmong;;Ithmong;;;;;;;x
KULDAHAR_ADJ;Kuldaharan;;;;;;;;;;;x
KULDAHAR;Kuldahar;;;;;;;;;;;x
LUSKAN_ADJ;Luskar;;;;;;;;;;;x
LUSKAN;Luskan;;;;;;;;;;;x
MAW_OF_THE_GOD_SWALLOWER_adj;Maw;;;;;;;;;;;x
MAW_OF_THE_GOD_SWALLOWER;Maw of the God Swallower;;;;;;;;;;;x
MERRYDALE_ADJ;Merrydalesman;;;;;;;;;;;x
MERRYDALE;Merrydale;;;;;;;;;;;x
NORLAND_ADJ;Norlander;;;;;;;;;;;x
NORLAND;Norland;;;;;;;;;;;x
NORTHKEEP_ADJ;Northkeeper;;;;;;;;;;;x
NORTHKEEP;Northkeep;;;;;;;;;;;x
OLD_OWL_WELL;Old Owl Well;;;;;;;;;;;x
PORTLLAST_ADJ;Llastar;Llastar;Llastar;;Llastar;;;;;;;x
PORTLLAST;Port Llast;Port Llast;Port Llast;;Port Llast;;;;;;;x
RAJAH;Rajah;;;;;;;;;;;x
RHYMANTHIIN_ADJ;Rhymanthiin;;;;;;;;;;;x
RHYMANTHIIN;Rhymanthiin;;;;;;;;;;;x
SNARLING_BOAR_ADJ;Boareskyr;;;;;;;;;;;x
SNARLING_BOAR;Snarling Boar;;;;;;;;;;;x
SULASSPRYN_ADJ;Sulassprynan;;;;;;;;;;;x
SULASSPRYN;Sulasspryn;;;;;;;;;;;x
SULDUSKOON_ADJ;Sulduskan;Sulduskan;Sulduskan;;Sulduskan;;;;;;;x
SULDUSKOON;Sulduskoon;Sulduskoon;Sulduskoon;;Sulduskoon;;;;;;;x
SUNSET_KEEP_ADJ;Sunset;;;;;;;;;;;x
SUNSET_KEEP;Sunset Keep;;;;;;;;;;;x
SKULDERVAR;Skuldervar;;;;;;;;;;;x
SKULDERVAR_ADJ;Skuldervar;;;;;;;;;;;x
TELOS;Telos;;;;;;;;;;;x
VEHLARR;Vehlarr;;;;;;;;;;;x
VELARSDALE_ADJ;Velarsdalesman;;;;;;;;;;;x
VELARSDALE;Velarsdale;;;;;;;;;;;x
WILD_HOLD_ADJ;Wildholder;;;;;;;;;;;x
WILD_HOLD;Wild Hold;;;;;;;;;;;x
