#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
magocratic_feudal_government;Magocracy;;;;;;;;;;x
magocratic_feudal_government_desc;In a magocracy, aptitude with the great Art of magic is seen as the primary qualification for rulership.;;;;;;;;;;x
magic_elective;Wizardly Elective;;;;;;;;;;x
succ_magic_elective;Wizardly Elective;;;;;;;;;;x
succ_magic_elective_desc;Arcane spellcasters are the majority of the electors, and those with great arcane talents are favoured for election.;;;;;;;;;;x
democratic_feudal_government;Commonwealth;;;;;;;;;;x
democratic_feudal_government_desc;In a commonwealth, all free people can vote, in principle. In practice, this power is often wielded for them by professional politicians.;;;;;;;;;;x
popular_elective;Popular Elective;;;;;;;;;;x
succ_popular_elective;Popular Elective;;;;;;;;;;x
succ_popular_elective_desc;All free citizens are voters, but in practice their votes are readily bought by politicians. Those who control cities have great electoral sway.;;;;;;;;;;x
divine_feudal_government;Divine Mandate;;;;;;;;;;x
divine_feudal_government_desc;Under Divine Mandate, the favour of the gods determines the right to rule. Those who carry the blood of the gods, or are blessed by them with power, will go far.;;;;;;;;;;x
divine_elective;Divine Elective;;;;;;;;;;x
succ_divine_elective;Divine Elective;;;;;;;;;;x
succ_divine_elective_desc;Clerics wield the most electoral power, as they are seen as the best judges of the gods' blessing.;;;;;;;;;;x
tooltip_feudal_elector_vote_knows_no_art;[From.GetFirstName] knows not the great Art;;;;;;;;;;x
tooltip_feudal_elector_vote_bard;[From.GetFirstName] is a bard;;;;;;;;;;x
tooltip_feudal_elector_vote_great_bard;[From.GetFirstName] is a truly great bard;;;;;;;;;;x
tooltip_feudal_elector_vote_sorcerer;[From.GetFirstName] is a sorcerer;;;;;;;;;;x
tooltip_feudal_elector_vote_great_sorcerer;[From.GetFirstName] is a highly accomplished sorcerer;;;;;;;;;;x
tooltip_feudal_elector_vote_warlock;[From.GetFirstName] is a warlock;;;;;;;;;;x
tooltip_feudal_elector_vote_great_warlock;[From.GetFirstName] is a masterful warlock;;;;;;;;;;x
tooltip_feudal_elector_vote_wizard;[From.GetFirstName] is a wizard;;;;;;;;;;x
tooltip_feudal_elector_vote_great_wizard;[From.GetFirstName] is a most learned wizard;;;;;;;;;;x
tooltip_feudal_elector_vote_legendary;[From.GetFirstName]'s deeds are the stuff of legend;;;;;;;;;;x
tooltip_feudal_elector_vote_bard_match;A bard like me;;;;;;;;;;x
tooltip_feudal_elector_vote_sorcerer_match;A sorcerer like me;;;;;;;;;;x
tooltip_feudal_elector_vote_warlock_match;A warlock like me;;;;;;;;;;x
tooltip_feudal_elector_vote_wizard_match;A wizard like me;;;;;;;;;;x
tooltip_feudal_elector_vote_immortal_magic;[From.GetFirstName] will surely outlive me;;;;;;;;;;x
tooltip_feudal_elector_vote_immortal_magic_immortal;[From.GetFirstName] is admirably long-lived;;;;;;;;;;x
tooltip_feudal_elector_vote_tattooed_thayan;A man with tattoos is an unfit ruler;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_possessed;Chosen by a ruler possessed by a powerful spirit;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_tyrant;Chosen by an admirably ruthless tyrant;;;;;;;;;;x
tooltip_feudal_vote_strength_magocracy_learning;[From.GetFirstName] is very learned;;;;;;;;;;x
tooltip_feudal_elector_vote_possessed_warlock;[From.GetFirstName] is possessed by a powerful spirit;;;;;;;;;;x
tooltip_feudal_elector_vote_evil_positive;I like [From.GetFirstName]'s attitude;;;;;;;;;;x
tooltip_feudal_elector_vote_deceitful_positive;[From.GetFirstName] is not bound by truthfulness;;;;;;;;;;x
tooltip_feudal_elector_vote_cruel_positive;[From.GetFirstName] is delightfully cruel;;;;;;;;;;x
tooltip_feudal_vote_zulkir_for_regent;[From.GetFirstName] is a powerful zulkir;;;;;;;;;;x
tooltip_feudal_vote_zulkir_only_once;[From.GetFirstName] is already a zulkir;;;;;;;;;;x
tooltip_feudal_elector_vote_paladin;[From.GetFirstName] is a paladin;;;;;;;;;;x
tooltip_feudal_elector_vote_great_paladin;[From.GetFirstName] is a truly blessed paladin;;;;;;;;;;x
tooltip_feudal_elector_vote_cleric;[From.GetFirstName] is a cleric;;;;;;;;;;x
tooltip_feudal_elector_vote_great_cleric;[From.GetFirstName] is a potent cleric;;;;;;;;;;x
tooltip_feudal_elector_vote_bhaalspawn;[From.GetFirstName] carries the blood of Bhaal;;;;;;;;;;x
tooltip_feudal_elector_vote_chosen_mystra;[From.GetFirstName] has been greatly blessed by Mystra;;;;;;;;;;x
tooltip_feudal_elector_vote_current_ruler_dynasty;The title should remain with the [From.GetOnlyDynastyName] dynasty;;;;;;;;;;x
tooltip_divine_vote_strength_cleric;[Root.GetFirstName] is a servant of the gods;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_castle;[Root.GetFirstName] controls a castle;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_castles;[Root.GetFirstName] controls two castles;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_castles;[Root.GetFirstName] controls three castles;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_castles;[Root.GetFirstName] controls four castles;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_castles;[Root.GetFirstName] controls five castles;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_city;[Root.GetFirstName] controls a city;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_cities;[Root.GetFirstName] controls two cities;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_cities;[Root.GetFirstName] controls three cities;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_cities;[Root.GetFirstName] controls four cities;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_cities;[Root.GetFirstName] controls five cities;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_temples;[Root.GetFirstName] controls two temples;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_temples;[Root.GetFirstName] controls three temples;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_temples;[Root.GetFirstName] controls four temples;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_temples;[Root.GetFirstName] controls five temples;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_tribe;[Root.GetFirstName] controls a tribe;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_tribes;[Root.GetFirstName] controls two tribes;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_tribes;[Root.GetFirstName] controls three tribes;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_tribes;[Root.GetFirstName] controls four tribes;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_tribes;[Root.GetFirstName] controls five tribes;;;;;;;;;;x
ordning_government;Ordning;;;;;;;;;;x
ordning_government_desc;The Ordning is the strict code of honor, religion, and culture that permeates all true giant societies. Those low on the Ordning are expected to obey those above them, even so far as different breeds of giant.;;;;;;;;;;x
serpent_government;Ophidian;;;;;;;;;;x
serpent_government_desc;An ophidian cabal is a loose term grouping the diverse and insidious serpent kingdoms ruled by the Yuan-Ti, Naga or, more rarely, the Sarrukh. Unified by their caste system, the closer an individual is to the ideal snake form, the higher in rank and power they are.;;;;;;;;;;x
scaly_government;Scaled;;;;;;;;;;x
scaly_government_desc;In the wildlands of Faerun, scale-skinned warriors live in loose tribal societies usually controlled by the strongest or most cunning amongst them.;;;;;;;;;;x
