#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###ÄNSI
PROV1;Waterdeep;Eauprofonde;Tiefwasser;;Waterdeep;;;;;;;x
PROV2;Amphail;Amphail;Amphail;;Amphail;;;;;;;x
PROV3;Daggerford;Gué de la Dague;Degenfurt;;Daggerford;;;;;;;x
PROV4;Triboar;Triboar;Triboar;;Triboar;;;;;;;x
PROV5;Red Cliffs;Red Cliffs;Red Cliffs;;Red Cliffs;;;;;;;x
PROV6;Moorsedge;Moorsedge;Moorsedge;;Moorsedge;;;;;;;x
PROV7;Secomber;Secomber;Secomber;;Secomber;;;;;;;x
PROV8;Neverwinter;Padhiver;Niewinter;;Neverwinter;;;;;;;x
PROV9;Mere of Dead Men;Marais des Morts;Totensumpf;;Mere of Dead Men;;;;;;;x
PROV10;Port Llast;Port Llast;Port Llast;;Port Llast;;;;;;;x
PROV11;Neverwinter Wood;Bois de Padhiver;Niewinterwald;;Neverwinter Wood;;;;;;;x
PROV12;Leilon;Leilon;Leilon;;Leilon;;;;;;;x
PROV13;Baldur's Gate;Porte de Baldur;Baldurs Tor;;Baldur's Gate;;;;;;;x
PROV14;The Trollclaws;The Trollclaws;The Trollclaws;;The Trollclaws;;;;;;;x
PROV15;Elturel;Elturel;Elturel;;Elturel;;;;;;;x
PROV16;Scornubel;Scornubel;Scornubel;;Scornubel;;;;;;;x
PROV17;Luskan;Luskan;Luskan;;Luskan;;;;;;;x
PROV18;Red Larch;Red Larch;Red Larch;;Red Larch;;;;;;;x
PROV19;Longsaddle;Longsaddle;Longsaddle;;Longsaddle;;;;;;;x
PROV20;Kryptgarden Forest;Kryptgarden Forest;Kryptgarden Forest;;Kryptgarden Forest;;;;;;;x
PROV21;Lurkwood;Lurkwood;Lurkwood;;Lurkwood;;;;;;;x
PROV22;Ardeepsward;Ardeepsward;Ardeepsward;;Ardeepsward;;;;;;;x
PROV23;Fireshear;Fireshear;Fireshear;;Fireshear;;;;;;;x
PROV24;Sabirine Vale;Sabirine Vale;Sabirine Vale;;Sabirine Vale;;;;;;;x
PROV25;Silverymoon;Silverymoon;Silverymoon;;Silverymoon;;;;;;;x
PROV26;Surbrin Hills;Surbrin Hills;Surbrin Hills;;Surbrin Hills;;;;;;;x
PROV27;The Evermoors;The Evermoors;The Evermoors;;The Evermoors;;;;;;;x
PROV28;Rivermoot;Rivermoot;Rivermoot;;Rivermoot;;;;;;;x
PROV29;Everlund;Everlund;Everlund;;Everlund;;;;;;;x
PROV30;Silvermoon Pass;Silvermoon Pass;Silvermoon Pass;;Silvermoon Pass;;;;;;;x
PROV31;Calling Horns;Calling Horns;Calling Horns;;Calling Horns;;;;;;;x
PROV32;Mithral Hall;Castelmithral;Mithril-Halle;;Mithral Hall;;;;;;;x
PROV33;Druarwood;Druarwood;Druarwood;;Druarwood;;;;;;;x
PROV34;Moonwood;Moonwood;Moonwood;;Moonwood;;;;;;;x
PROV35;Coldwood;Coldwood;Coldwood;;Coldwood;;;;;;;x
PROV36;Adbar;Adbar;Adbar;;Adbar;;;;;;;x
PROV37;Turlang's Wood;Turlang's Wood;Turlang's Wood;;Turlang's Wood;;;;;;;x
PROV38;Sundabar;Sundabar;Sundabar;;Sundabar;;;;;;;x
PROV39;Frost Hills;Frost Hills;Frost Hills;;Frost Hills;;;;;;;x
PROV40;Mirabar;Mirabar;Mirabar;;Mirabar;;;;;;;x
PROV41;Khedrun Valley;Khedrun Valley;Khedrun Valley;;Khedrun Valley;;;;;;;x
PROV42;Blackford;Blackford;Blackford;;Blackford;;;;;;;x
PROV43;Ironmaster;Ironmaster;Ironmaster;;Ironmaster;;;;;;;x
PROV44;Hundelstone;Hundelstone;Hundelstone;;Hundelstone;;;;;;;x
PROV45;Icewind Tundra;Icewind Tundra;Icewind Tundra;;Icewind Tundra;;;;;;;x
PROV46;Ten Towns;Dix-Villes;Zehn-Städte;;Ten Towns;;;;;;;x
PROV47;Night Trees;Night Trees;Night Trees;;Night Trees;;;;;;;x
PROV48;Hartsvale;Hartsvale;Hartsvale;;Hartsvale;;;;;;;x
PROV49;Tholvarr;Tholvarr;Tholvarr;;Tholvarr;;;;;;;x
PROV50;The Rift;The Rift;The Rift;;The Rift;;;;;;;x
PROV51;Evermelt;Evermelt;Evermelt;;Evermelt;;;;;;;x
PROV52;Endless Blizzard;Endless Blizzard;Endless Blizzard;;Endless Blizzard;;;;;;;x
PROV53;Arn Forest;Arn Forest;Arn Forest;;Arn Forest;;;;;;;x
PROV54;Loudwater;Loudwater;Loudwater;;Loudwater;;;;;;;x
