#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###ÄNSI
amulet_of_protection_1;Amulet of Protection 1;;;;;;;;;;;;;x
amulet_of_protection_1_desc;A small amulet giving you light amount of protection from enemies.;;;;;;;;;;;;;x
amulet_of_protection_2;Amulet of Protection 2;;;;;;;;;;;;;x
amulet_of_protection_2_desc;A medium sized amulet giving you protection from enemies.;;;;;;;;;;;;;x
amulet_of_protection_3;Amulet of Protection 3;;;;;;;;;;;;;x
amulet_of_protection_3_desc;A large amulet giving you a great amount of protection from enemies.;;;;;;;;;;;;;x
armor_1;Leather Armor;;;;;;;;;;;x
armor_1_desc;A set of thick leather armor.;;;;;;;;;;;x
armor_2;Leather & Ringmail Armor;;;;;;;;;;;x
armor_2_desc;A set of leather armor reinforced by the addition of ringmail.;;;;;;;;;;;x
armor_3;Chainmail;;;;;;;;;;;x
armor_3_desc;A set of chained mail.;;;;;;;;;;;x
armor_4;Heavy Chainmail;;;;;;;;;;;x
armor_4_desc;A set of very heavy chained mail.;;;;;;;;;;x
armor_5;Plate Armor;;;;;;;;;;;x
armor_5_desc;A set of impressive armor usually worn by knights.;;;;;;;;;;;x
axe_1;Light Axe;;;;;;;;;;;x
axe_1_desc;A small axe.;;;;;;;;;;;x
axe_2;Axe;;;;;;;;;;;x
axe_2_desc;A normal sized axe.;;;;;;;;;;;x
axe_3;Large Axe;;;;;;;;;;;x
axe_3_desc;A large axe.;;;;;;;;;;;x
axe_4;Great Axe;;;;;;;;;;;x
axe_4_desc;An impressive axe.;;;;;;;;;;x
axe_5;Legendary Axe;;;;;;;;;;;x
axe_5_desc;A axe of incredible size.;;;;;;;;;;;x
bow_1;Small Bow;;;;;;;;;;;;;x
bow_1_desc;A small sized longbow.;;;;;;;;;;;;;x
bow_2;Bow;;;;;;;;;;;;;x
bow_2_desc;A normal sized bow.;;;;;;;;;;;;;x
bow_3;Longbow;;;;;;;;;;;;;x
bow_3_desc;A normal sized longbow.;;;;;;;;;;;;;x
bow_4;Crossbow;;;;;;;;;;;;;x
bow_4_desc;A normal sized crossbow.;;;;;;;;;;;;;x
bow_5;Great Crossbow;;;;;;;;;;;;;x
bow_5_desc;A crossbow of massive size.;;;;;;;;;;;;;x
compass;Compass;;;;;;;;;;;x
compass_desc;An item telling you which direction you are looking.;;;;;;;;;;;x
emerald_tablet;Emerald Tablet;;;;;;;;;;;x
emerald_tablet_desc;A dusty old tablet containing ancient lore and legend.;;;;;;;;;;;x
glasses;Glasses;;;;;;;;;;;x
glasses_desc;An item to make your vision like it was when you were young.;;;;;;;;;;;x
golden_armor;Cheap Golden Armor;;;;;;;;;;;x
golden_armor_desc;A set of cheap but flashy golden armor.;;;;;;;;;;;;x
gourd_of_travel;Gourd of Travel;;;;;;;;;;;x
gourd_of_travel_desc;A gourd allowing you to teleport short distances, making travel easier.;;;;;;;;;;;x
handgun;Handgun;;;;;;;;;;;x
handgun_desc;A rare invention which supposedly gives one the power to immediately wound or injure.;;;;;;;;;;;x
harp_of_healing;Harp of Healing;;;;;;;;;;;x
harp_of_healing_desc;A harp with a sound that can heal.;;;;;;;;;;;x
lance_1_desc;A small lance.;;;;;;;;;;;x
lance_2;Lance;;;;;;;;;;;x
lance_2_desc;A normal sized lance.;;;;;;;;;;;x
lance_3;Large Lance;;;;;;;;;;;x
lance_3_desc;A large lance.;;;;;;;;;;;x
lance_4;Great Lance;;;;;;;;;;;x
lance_4_desc;An impressive lance.;;;;;;;;;;x
lance_5;Legendary Lance;;;;;;;;;;;x
lance_5_desc;A lance of incredible size.;;;;;;;;;;;x
lyre_of_building;Lyre of Building;;;;;;;;;;;x
lyre_of_building_desc;This instrument's sound causes a person to do the work of a hundred of their peers.;;;;;;;;;;;x
mace_1;Light Mace;;;;;;;;;;;x
mace_1_desc;A small mace.;;;;;;;;;;;x
mace_2;Mace;;;;;;;;;;;x
mace_2_desc;A normal sized mace.;;;;;;;;;;;x
mace_3;Large Mace;;;;;;;;;;;x
mace_3_desc;A large mace.;;;;;;;;;;;x
mace_4;Great Mace;;;;;;;;;;;x
mace_4_desc;An impressive mace.;;;;;;;;;;x
mace_5;Legendary Mace;;;;;;;;;;;x
mace_5_desc;A mace of incredible size.;;;;;;;;;;;x
mages_amulet_1;Small Mage's Amulet;;;;;;;;;;;x
mages_amulet_1_desc;A small mage's amulet.;;;;;;;;;;;x
mages_amulet_2;Mage's Amulet;;;;;;;;;;;x
mages_amulet_2_desc;A mage's amulet.;;;;;;;;;;;x
mages_amulet_3;Large Mage's Amulet;;;;;;;;;;;x
mages_amulet_3_desc;A large mage's amulet.;;;;;;;;;;;x
mages_crown;Mage's Crown;;;;;;;;;;;x
mages_crown_desc;A mage's crown.;;;;;;;;;;;x
mages_ring_1;Small Mage's Ring;;;;;;;;;;;x
mages_ring_1_desc;A small mage's ring.;;;;;;;;;;;x
mages_ring_2;Mage's Ring;;;;;;;;;;;x
mages_ring_2_desc;A mage's ring.;;;;;;;;;;;x
mages_ring_3;Large Mage's Ring;;;;;;;;;;;x
mages_ring_3_desc;A large mage's ring.;;;;;;;;;;;x
mages_spellbook_1;Small Mage's Spellbook;;;;;;;;;;;x
mages_spellbook_1_desc;A small mage's spellbook.;;;;;;;;;;;x
mages_spellbook_2;Mage's Spellbook;;;;;;;;;;;x
mages_spellbook_2_desc;A mage's spellbook.;;;;;;;;;;;x
mages_spellbook_3;Large Mage's Spellbook;;;;;;;;;;;x
mages_spellbook_3_desc;A large mage's spellbook.;;;;;;;;;;;x
mages_staff_1;Small Mage's Staff;;;;;;;;;;;x
mages_staff_1_desc;A small mage's staff.;;;;;;;;;;;x
mages_staff_2;Mage's Staff;;;;;;;;;;;x
mages_staff_2_desc;A mage's staff.;;;;;;;;;;;x
mages_staff_3;Large Mage's Staff;;;;;;;;;;;x
mages_staff_3_desc;A large mage's staff.;;;;;;;;;;;x
mages_tome;Mage's Tome;;;;;;;;;;;x
mages_tome_desc;A mage's tome.;;;;;;;;;;;x
pike_1;Bardiche;;;;;;;;;;;x
pike_1_desc;A bardiche.;;;;;;;;;;;x
pike_2;Bill;;;;;;;;;;;x
pike_2_desc;A bill.;;;;;;;;;;;x
pike_3;Guisarme;;;;;;;;;;;x
pike_3_desc;A guisarme.;;;;;;;;;;;x
pike_4;Falchion;;;;;;;;;;;x
pike_4_desc;A falchion.;;;;;;;;;;x
pike_5;Halberd;;;;;;;;;;;x
pike_5_desc;A halberd.;;;;;;;;;;;x
ring_of_command;Ring of Command;;;;;;;;;;;x
