#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DEATH_ACCIDENT_FIRE;died in a fire on the order of $KILLER$;;;;;;;;;;;;;x
DEATH_ACCIDENT_FIRE_NO_KILLER;died in a fire;;;;;;;;;;;;;x
DEATH_ACCIDENT_HUNT;was killed by $KILLER$ in a hunting accident;;;;;;;;;;;;;x
DEATH_ACCIDENT_HUNT_NO_KILLER;was killed in a hunting accident;;;;;;;;;;;;;x
DEATH_ACCIDENT_WOLF;was killed by a wolf;;;;;;;;;;;;;x
DEATH_POISON;poisoned by $KILLER$;;;;;;;;;;;;;x
DEATH_POISON_NO_KILLER;died from poisoning;;;;;;;;;;;;;x
DEATH_PLANES;went to visit other planes of existence and never returned;;;;;;;;;;;;;x
DEATH_APOTHEOSIS;became a demigod;;;;;;;;;;;;;x
DEATH_RAVENLOFT;vanished into a mysterious mist;;;;;;;;;;;;;x
